culture,variete,type_culture,mode_culture,temperature_min,temperature_max,humidite_min,humidite_max,type_sol,saison,zone_favorable,rendement_kg_ha,cycle_jours,resistance_chaleur,resistance_secheresse,prix_semence_CFA
aubergine,Prosperosa,Ronde violette,Plein air,20,32,50,80,"Sols profonds","Saison chaude","Spécialisée",28000,80,7,6,16000
aubergine,Rosa Bianca,Ronde rose,Plein air,20,32,50,80,"Sols riches","Saison chaude","Spécialisée",25000,85,6,5,20000
aubergine,Green Goddess,Verte,Plein air,20,32,50,80,"Sols légers","Saison chaude","Spécialisée",26000,80,7,6,18000
oignon,Red Baron,Rouge,Plein air,15,28,40,75,"Sols moyens","Saison fraîche","Toutes zones",32000,100,7,6,14000
oignon,White Grano,Blanc doux,Plein air,15,28,40,75,"Sols légers","Saison fraîche","Niayes",30000,95,6,5,13000
oignon,Candy,Jaune doux,Plein air,10,28,40,75,"Sols riches","Saison fraîche","Altitude",35000,110,5,4,15000
oignon,Patterson,Jaune conservation,Plein air,10,28,40,75,"Sols profonds","Saison fraîche","Altitude",38000,130,5,4,14000
pomme_de_terre,Marabel,Tubercule jaune,Plein air,15,22,60,85,"Sols légers","Saison fraîche","Niayes",35000,95,4,3,22000
pomme_de_terre,Agria,Tubercule jaune,Plein air,15,22,60,85,"Sols profonds","Saison fraîche","Altitude",40000,110,3,2,20000
pomme_de_terre,Fontane,Tubercule polyvalent,Plein air,15,22,60,85,"Sols moyens","Saison fraîche","Toutes zones",38000,100,4,3,21000
pomme_de_terre,Innovator,Tubercule industrie,Plein air,15,22,60,85,"Sols riches","Saison fraîche","Industrie",45000,105,3,2,23000
gombo,Baby Bubba,Nain,Plein air,25,35,60,90,"Sols légers","Saison chaude","Maraîchage",12000,50,9,8,10000
gombo,Candle Fire,Rouge décoratif,Plein air,25,35,60,90,"Sols pauvres","Saison chaude","Spécialisée",10000,55,9,9,12000
gombo,Silver Queen,Vert clair,Plein air,25,35,60,90,"Sols moyens","Saison chaude","Toutes zones",16000,60,9,8,8000
gombo,Star of David,Gros fruit,Plein air,25,35,60,90,"Sols riches","Saison chaude","Spécialisée",18000,65,8,7,9000
maïs,Bt Maïs,Maïs OGM,Plein air,20,35,40,80,"Sols riches","Saison pluie","Toutes zones",6000,85,8,6,5000
maïs,Maïs violet,Maïs couleur,Plein air,20,32,50,85,"Sols légers","Saison fraîche","Spécialisée",3500,100,5,4,8000
maïs,Maïs rouge,Maïs couleur,Plein air,20,35,40,80,"Sols moyens","Saison pluie","Spécialisée",4000,95,6,5,7000
maïs,Maïs noir,Maïs couleur,Plein air,20,35,40,80,"Sols légers","Saison pluie","Spécialisée",3800,100,6,5,7500
riz,Riz Nerica 6,NERICA,Plein air,25,35,60,90,"Sols pauvres","Saison pluie","Bassin",3500,85,8,7,3000
riz,Riz Nerica 7,NERICA,Plein air,25,35,60,90,"Sols acides","Saison pluie","Casamance",3700,90,8,7,3000
riz,Riz Nerica 8,NERICA,Plein air,25,35,60,90,"Sols légers","Saison pluie","Toutes zones",3600,88,8,7,3000
riz,Riz Nerica 9,NERICA,Plein air,25,35,60,90,"Sols moyens","Saison pluie","Vallée",3900,92,7,6,3000
riz,Riz Nerica 10,NERICA,Plein air,25,35,60,90,"Sols riches","Saison pluie","Sud",4000,95,7,6,3000
sorgho,ICSV 400,Sorgho amélioré,Plein air,25,40,30,70,"Sols pauvres","Saison pluie","Toutes zones",2000,100,9,8,2000
sorgho,ICSV 401,Sorgho amélioré,Plein air,25,40,30,70,"Sols légers","Saison pluie","Zone sahélienne",2200,95,9,8,2000
sorgho,ICSV 402,Sorgho résistant,Plein air,25,40,30,70,"Sols pauvres","Saison pluie courte","Sahel",1800,85,10,9,2000
sorgho,ICSV 403,Sorgho haut rendement,Plein air,25,40,30,70,"Sols riches","Saison pluie","Irrigué",2500,105,8,7,2500
mil,IBV 8001,Mil amélioré,Plein air,25,38,30,70,"Sols sablonneux","Saison pluie","Bassin arachidier",1600,90,9,8,1500
mil,IBV 8002,Mil résistant,Plein air,25,38,30,70,"Sols pauvres","Saison pluie courte","Sahel",1400,85,10,9,1500
mil,IBV 8003,Mil précoce,Plein air,25,38,30,70,"Sols légers","Saison pluie","Nord",1500,75,9,9,1500
mil,IBV 8004,Mil productif,Plein air,25,38,30,70,"Sols riches","Saison pluie","Sud",1800,100,8,7,1500
arachide,ICGV 86124,Arachide résistante,Plein air,25,35,40,70,"Sols sablonneux","Saison pluie","Bassin arachidier",2200,100,8,8,2500
arachide,ICGV 86125,Arachide améliorée,Plein air,25,35,40,70,"Sols légers","Saison pluie","Toutes zones",2000,95,8,7,2500
arachide,ICGV 86126,Arachide hâtive,Plein air,25,35,40,70,"Sols pauvres","Saison pluie courte","Nord",1700,85,9,8,2500
arachide,ICGV 86127,Arachide gros grain,Plein air,25,35,40,70,"Sols riches","Saison pluie","Sud",2400,110,7,6,2500
concombre,Marketmore 76,Concombre résistant,Plein air,18,32,60,85,"Sols riches","Saison chaude","Toutes zones",40000,60,8,6,8000
concombre,Straight Eight,Concombre long,Plein air,18,32,60,85,"Sols légers","Saison chaude","Maraîchage",45000,55,7,6,7000
concombre,Poinseet 76,Concombre américain,Plein air,18,32,60,85,"Sols profonds","Saison chaude","Toutes zones",48000,50,7,6,8000
concombre,Suyo Long,Concombre asiatique,Plein air,18,32,60,85,"Sols riches","Saison chaude","Spécialisée",35000,65,8,7,10000
concombre,National Pickling,Concombre cornichon,Plein air,18,32,60,85,"Sols moyens","Saison chaude","Industrie",30000,55,7,6,9000
melon,Cantaloup,Melon brodé,Plein air,20,32,50,80,"Sols légers","Saison chaude","Niayes",25000,80,8,7,10000
melon,Honeydew,Melon miel,Plein air,20,32,50,80,"Sols sablonneux","Saison chaude","Toutes zones",22000,85,8,7,12000
melon,Charentais,Melon français,Plein air,20,32,50,80,"Sols riches","Saison chaude","Maraîchage",20000,75,8,6,15000
melon,Galia,Melon israélien,Sous serre,20,32,50,80,"Sols profonds","Saison chaude","Spécialisée",28000,70,9,7,18000
melon,Watermelon Sugar Baby,Pastèque mini,Plein air,22,35,40,80,"Sols légers","Saison chaude","Toutes zones",30000,80,9,8,8000
pastèque,Crimson Sweet,Pastèque striée,Plein air,22,35,40,80,"Sols sablonneux","Saison chaude","Toutes zones",40000,85,9,7,7000
pastèque,Charleston Gray,Pastèque longue,Plein air,22,35,40,80,"Sols légers","Saison chaude","Toutes zones",38000,90,9,7,7000
pastèque,Sugar Baby,Pastèque ronde,Plein air,22,35,40,80,"Sols pauvres","Saison chaude","Zone sahélienne",28000,75,9,9,6000
pastèque,Black Diamond,Pastèque noire,Plein air,22,35,40,80,"Sols riches","Saison chaude","Zone tropicale",35000,85,8,7,8000
pastèque,Yellow Crimson,Pastèque jaune,Plein air,22,35,40,80,"Sols légers","Saison chaude","Spécialisée",32000,85,8,7,10000
épinard,Matador,Epinard hybrid,Plein air,10,25,60,90,"Sols riches","Saison fraîche","Niayes",20000,45,4,3,6000
épinard,Bloomsdale,Epinard ancien,Plein air,10,25,60,90,"Sols légers","Saison fraîche","Altitude",18000,50,4,3,5000
épinard,New Zealand,Epinard d'été,Plein air,15,35,60,90,"Sols moyens","Saison chaude","Toutes zones",15000,60,8,7,7000
épinard,Malabar,Epinard grimpant,Plein air,22,35,60,90,"Sols riches","Saison chaude","Zone tropicale",12000,70,9,8,6000
courgette,Black Beauty,Courgette noire,Plein air,18,30,60,85,"Sols riches","Saison chaude","Toutes zones",40000,50,7,6,6000
courgette,Golden,Zucchini jaune,Plein air,18,30,60,85,"Sols légers","Saison chaude","Maraîchage",38000,50,7,6,7000
courgette,Costata Romanesca,Courgette italienne,Plein air,18,30,60,85,"Sols profonds","Saison chaude","Spécialisée",35000,55,7,6,8000
courgette,Round,Zucchini ronde,Plein air,18,30,60,85,"Sols moyens","Saison chaude","Spécialisée",30000,55,7,6,9000
betterave,Detroit Dark Red,Betterave rouge,Plein air,15,25,50,85,"Sols légers","Saison fraîche","Toutes zones",35000,65,4,3,5000
betterave,Chioggia,Betterave candy,Plein air,15,25,50,85,"Sols riches","Saison fraîche","Spécialisée",30000,60,4,3,7000
betterave,Cylindra,Betterave longue,Plein air,15,25,50,85,"Sols profonds","Saison fraîche","Maraîchage",38000,65,4,3,6000
betterave,Golden,Betterave jaune,Plein air,15,25,50,85,"Sols légers","Saison fraîche","Spécialisée",28000,60,4,3,7000
fenouil,Florence,Fenouil bulbe,Plein air,15,25,50,85,"Sols riches","Saison fraîche","Maraîchage",20000,80,5,4,8000
fenouil,Orion,Fenouil amélioré,Plein air,15,25,50,85,"Sols profonds","Saison fraîche","Maraîchage",22000,75,5,4,9000
fenouil,Perfection,Fenouil ancien,Plein air,15,25,50,85,"Sols légers","Saison fraîche","Altitude",18000,85,5,4,8000
câpre,Câprier,Câpre buisson,Plein air,25,40,30,70,"Sols pauvres","Saison sèche","Zone sahelienne",5000,180,10,10,5000
câpre,Spineless,Câpre sans épine,Plein air,25,40,30,70,"Sols légers","Saison sèche","Irrigué",6000,180,9,9,6000
basilic,Basilic pourpre,Aromatique,Plein air,18,35,50,85,"Sols riches","Toute saison","Maraîchage",12000,60,8,7,3500
basilic,Basilic citron,Aromatique,Plein air,18,35,50,85,"Sols moyens","Toute saison","Spécialisée",13000,60,8,7,4000
basilic,Basilic thaï,Aromatique,Plein air,18,35,50,85,"Sols légers","Toute saison","Spécialisée",14000,60,8,7,4000
persil,Persil plat,Aromatique,Plein air,15,28,60,90,"Sols riches","Toute saison","Toutes zones",20000,70,5,4,2000
persil,Persil frisé,Aromatique,Plein air,15,28,60,90,"Sols légers","Toute saison","Maraîchage",18000,70,5,4,2500
persil,Persil racine,Aromatique,Plein air,15,28,60,90,"Sols profonds","Toute saison","Maraîchage",15000,90,5,4,3000
coriandre,Coriandre feuille,Aromatique,Plein air,15,30,50,85,"Sols légers","Saison fraîche","Toutes zones",10000,45,6,5,2000
coriandre,Coriandre grain,Aromatique,Plein air,15,30,50,85,"Sols moyens","Saison fraîche","Spécialisée",8000,60,6,5,2500
coriandre,Coriandre vietnamienne,Aromatique,Plein air,20,35,60,90,"Sols riches","Saison chaude","Zone tropicale",12000,50,8,7,3000
aneth,Aneth vert,Aromatique,Plein air,15,28,50,85,"Sols légers","Saison fraîche","Maraîchage",8000,50,5,4,2500
aneth,Aneth bouquet,Aromatique,Plein air,15,28,50,85,"Sols moyens","Saison fraîche","Maraîchage",9000,55,5,4,2500
estragon,Estragon français,Aromatique,Plein air,15,28,50,85,"Sols riches","Saison fraîche","Altitude",6000,60,4,3,3000
estragon,Estragon russe,Aromatique,Plein air,15,30,50,85,"Sols légers","Saison fraîche","Toutes zones",7000,60,6,5,2500
ciboulette,Ciboulette commune,Aromatique,Plein air,10,28,50,85,"Sols légers","Saison fraîche","Toutes zones",10000,70,5,4,2000
ciboulette,Ciboulette chinoise,Aromatique,Plein air,15,32,50,85,"Sols riches","Toute saison","Zone tropicale",12000,60,7,6,2500
